ntaxa-100.dlrate-0.0000000001.psize-10000000,ntaxa-100.dlrate-0.0000000001.psize-50000000,ntaxa-100.dlrate-0.0000000002.psize-10000000,ntaxa-100.dlrate-0.0000000002.psize-50000000,ntaxa-100.dlrate-0.0000000005.psize-10000000,ntaxa-100.dlrate-0.0000000005.psize-50000000,ntaxa-100.dlrate-0.0.psize-10000000,ntaxa-100.dlrate-0.0.psize-50000000
0.030927835051546393,0.030927835051546393,0.030927835051546393,0.020618556701030927,0.030927835051546393,0.010309278350515464,0.020618556701030927,0.020618556701030927
0.010309278350515464,0.061855670103092786,0.010309278350515464,0.041237113402061855,0.041237113402061855,0.05154639175257732,0.020618556701030927,0.041237113402061855
0.010309278350515464,0.010309278350515464,0.010309278350515464,0.0,0.05154639175257732,0.07216494845360824,0.0,0.020618556701030927
0.010309278350515464,0.020618556701030927,0.020618556701030927,0.030927835051546393,0.041237113402061855,0.041237113402061855,0.010309278350515464,0.010309278350515464
0.010309278350515464,0.010309278350515464,0.020618556701030927,0.030927835051546393,0.0,0.020618556701030927,0.030927835051546393,0.010309278350515464
0.030927835051546393,0.061855670103092786,0.0,0.020618556701030927,0.030927835051546393,0.05154639175257732,0.030927835051546393,0.010309278350515464
0.030927835051546393,0.020618556701030927,0.010309278350515464,0.030927835051546393,0.020618556701030927,0.041237113402061855,0.020618556701030927,0.020618556701030927
0.010309278350515464,0.030927835051546393,0.05154639175257732,0.030927835051546393,0.020618556701030927,0.061855670103092786,0.010309278350515464,0.020618556701030927
0.020618556701030927,0.030927835051546393,0.030927835051546393,0.061855670103092786,0.05154639175257732,0.030927835051546393,0.0,0.020618556701030927
0.020618556701030927,0.020618556701030927,0.010309278350515464,0.010309278350515464,0.041237113402061855,0.041237113402061855,0.010309278350515464,0.020618556701030927
