Method,SeqLen,DupRate,InputType,Error
Apro,250,2,Psize 50000000,0.0
Apro,250,5,Psize 10000000,0.0
Apro,250,5,Psize 10000000,0.0
Apro,250,5,Psize 10000000,0.01030927835
Apro,250,5,Psize 10000000,0.01030927835
Apro,250,5,Psize 10000000,0.0
Apro,250,5,Psize 10000000,0.01030927835
Apro,250,5,Psize 10000000,0.0
Apro,250,5,Psize 10000000,0.01030927835
Apro,250,5,Psize 10000000,0.01030927835
Apro,250,5,Psize 10000000,0.0
Apro,250,5,Psize 50000000,0.0206185567
Apro,250,5,Psize 50000000,0.05154639175
Apro,250,5,Psize 50000000,0.01030927835
Apro,250,5,Psize 50000000,0.01030927835
Apro,250,5,Psize 50000000,0.0206185567
Apro,250,5,Psize 50000000,0.01030927835
Apro,250,5,Psize 50000000,0.0
Apro,250,5,Psize 50000000,0.01030927835
Apro,250,5,Psize 50000000,0.01030927835
Apro,250,5,Psize 50000000,0.0206185567
Apro,250,0.0,Psize 10000000,0.01030927835
Apro,250,0.0,Psize 10000000,0.01030927835
Apro,250,0.0,Psize 10000000,0.0
Apro,250,0.0,Psize 10000000,0.01030927835
Apro,250,0.0,Psize 10000000,0.01030927835
Apro,250,0.0,Psize 10000000,0.0
Apro,250,0.0,Psize 10000000,0.01030927835
Apro,250,0.0,Psize 10000000,0.01030927835
Apro,250,0.0,Psize 10000000,0.0
Apro,250,0.0,Psize 10000000,0.0
Apro,250,0.0,Psize 50000000,0.01030927835
Apro,250,0.0,Psize 50000000,0.01030927835
Apro,250,0.0,Psize 50000000,0.0206185567
Apro,250,0.0,Psize 50000000,0.0
Apro,250,0.0,Psize 50000000,0.01030927835
Apro,250,0.0,Psize 50000000,0.0
Apro,250,0.0,Psize 50000000,0.0
Apro,250,0.0,Psize 50000000,0.01030927835
Apro,250,0.0,Psize 50000000,0.01030927835
Apro,250,0.0,Psize 50000000,0.0
wqfm-gdl,250,1,Psize 10000000,0.0
wqfm-gdl,250,1,Psize 10000000,0.01030927835
