sim200_dup3_loss1,sim200_dup0_ILS70,sim200_dup1_ILS25,sim200_dup1_loss0.1,sim200_dup0.25_loss0.1,sim200_dup1_loss1,sim200_dup0.25_loss1,sim200_dup3_ILS25,sim200_dup0_ILS25,sim200_dup3_loss0.1,sim500_dup1_loss0.1,sim500_dup0.25_loss0.1,sim500_dup1_loss1,sim500_dup0.25_loss1,sim500_dup3_ILS25,sim500_dup0_ILS25,sim500_dup3_loss0.1,sim500_dup0_ILS70,sim500_dup3_loss1,sim500_dup1_ILS25
0.06565656565656566,0.07575757575757576,0.04040404040404041,0.10101010101010101,0.08080808080808081,0.07575757575757576,0.07575757575757576,0.050505050505050504,0.045454545454545456,0.06565656565656566,0.10843373493975904,0.10441767068273092,0.10240963855421686,0.10642570281124498,0.08634538152610442,0.09437751004016064,0.0963855421686747,0.13052208835341367,0.10642570281124498,0.08835341365461848
0.03535353535353535,0.03535353535353535,0.015151515151515152,0.04040404040404041,0.025252525252525252,0.06565656565656566,0.06565656565656566,0.010101010101010102,0.015151515151515152,0.03535353535353535,0.02610441767068273,0.03413654618473896,0.05421686746987952,0.03614457831325301,0.05220883534136546,0.0642570281124498,0.01606425702811245,0.04216867469879518,0.04216867469879518,0.030120481927710843
0.030303030303030304,0.05555555555555555,0.005050505050505051,0.03535353535353535,0.050505050505050504,0.0707070707070707,0.05555555555555555,0.04040404040404041,0.05555555555555555,0.020202020202020204,0.03413654618473896,0.14056224899598393,0.08433734939759036,0.0321285140562249,0.020080321285140562,0.03815261044176707,0.05421686746987952,0.04819277108433735,0.040160642570281124,0.012048192771084338
0.045454545454545456,0.05555555555555555,0.0707070707070707,0.025252525252525252,0.0707070707070707,0.045454545454545456,0.07575757575757576,0.03535353535353535,0.015151515151515152,0.050505050505050504,0.0321285140562249,0.0321285140562249,0.024096385542168676,0.03614457831325301,0.01606425702811245,0.040160642570281124,0.07028112449799197,0.04216867469879518,0.03413654618473896,0.014056224899598393
0.03535353535353535,0.05555555555555555,0.030303030303030304,0.08585858585858586,0.045454545454545456,0.03535353535353535,0.04040404040404041,0.025252525252525252,0.025252525252525252,0.020202020202020204,0.05220883534136546,0.04417670682730924,0.05622489959839357,0.04618473895582329,0.010040160642570281,0.02610441767068273,0.028112449799196786,0.05220883534136546,0.04216867469879518,0.04417670682730924
0.03535353535353535,0.08585858585858586,0.015151515151515152,0.015151515151515152,0.050505050505050504,0.05555555555555555,0.045454545454545456,0.020202020202020204,0.015151515151515152,0.015151515151515152,0.030120481927710843,0.030120481927710843,0.028112449799196786,0.0642570281124498,0.012048192771084338,0.060240963855421686,0.04417670682730924,0.09036144578313253,0.04618473895582329,0.03815261044176707
0.05555555555555555,0.08080808080808081,0.025252525252525252,0.030303030303030304,0.04040404040404041,0.03535353535353535,0.050505050505050504,0.025252525252525252,0.030303030303030304,0.09090909090909091,0.04618473895582329,0.05220883534136546,0.08835341365461848,0.03614457831325301,0.028112449799196786,0.02208835341365462,0.02208835341365462,0.040160642570281124,0.0642570281124498,0.024096385542168676
0.07575757575757576,0.06565656565656566,0.015151515151515152,0.050505050505050504,0.020202020202020204,0.030303030303030304,0.06060606060606061,0.015151515151515152,0.030303030303030304,0.05555555555555555,0.03614457831325301,0.03413654618473896,0.06827309236947791,0.040160642570281124,0.020080321285140562,0.050200803212851405,0.018072289156626505,0.0642570281124498,0.030120481927710843,0.014056224899598393
0.04040404040404041,0.07575757575757576,0.015151515151515152,0.010101010101010102,0.03535353535353535,0.13131313131313133,0.020202020202020204,0.005050505050505051,0.06565656565656566,0.020202020202020204,0.06626506024096386,0.0642570281124498,0.03614457831325301,0.13654618473895583,0.01606425702811245,0.02610441767068273,0.060240963855421686,0.040160642570281124,0.05220883534136546,0.01606425702811245
0.020202020202020204,0.19696969696969696,0.015151515151515152,0.050505050505050504,0.10101010101010101,0.020202020202020204,0.06565656565656566,0.010101010101010102,0.06060606060606061,0.030303030303030304,0.04618473895582329,0.02208835341365462,0.0321285140562249,0.04216867469879518,0.014056224899598393,0.01606425702811245,0.04618473895582329,0.07028112449799197,0.028112449799196786,0.02610441767068273
